pm1 CF,pm2.5 CF,pm4 CF,pm10 CF,co2 CF,tvoc CF
0.983,0.987,0.991,0.993,1.126,0.733
0.916,0.917,0.919,0.92,1.028,1.519
0.915,0.915,0.913,0.912,1.127,0.959
1.112,1.112,1.113,1.114,0.988,0.653
1.019,1.024,1.027,1.028,1.022,0.988
1.124,1.132,1.137,1.139,0.916,1.12
1.096,1.096,1.095,1.094,0.967,0.996
1.083,1.083,1.081,1.08,0.978,0.872
0.931,0.93,0.928,0.928,1.007,1.109
1.148,1.139,1.132,1.127,1.007,0.889
0.94,0.942,0.945,0.947,1.016,1.009
0.924,0.927,0.93,0.932,1.023,1.092
0.849,0.848,0.847,0.848,0.874,1.165
1.341,1.333,1.326,1.322,1.025,0.926
1.186,1.175,1.167,1.161,0.993,1.137
0.958,0.945,0.934,0.929,1.017,0.82
0.764,0.767,0.769,0.77,0.946,0.556
0.855,0.854,0.855,0.855,1.007,1.009
0.927,0.926,0.924,0.922,0.998,0.973
1.107,1.107,1.108,1.108,0.971,1.007
1.038,1.035,1.031,1.028,0.929,1.079
