PM 1.0 CF,PM 2.5 CF,PM 4.0 CF,PM 10 CF
0.937,0.941,0.943,0.943
1.188,1.191,1.193,1.194
0.88,0.881,0.881,0.881
1.049,1.049,1.048,1.048
1.055,1.057,1.059,1.059
1.049,1.048,1.047,1.046
1.088,1.087,1.085,1.083
1.167,1.172,1.173,1.175
0.465,0.464,0.462,0.46
1.213,1.217,1.218,1.219
0.958,0.96,0.96,0.96
0.919,0.917,0.912,0.911
0.913,0.917,0.92,0.921
0.892,0.892,0.89,0.889
1.06,1.064,1.067,1.068
1.024,1.02,1.016,1.014
0.87,0.874,0.874,0.875
0.878,0.884,0.886,0.887
1.187,1.189,1.191,1.189
1.222,1.221,1.218,1.217
1.16,1.159,1.159,1.159
0.935,0.936,0.935,0.935
